timestamp,temperature,is_holiday,load
2023-01-07 00:00:00,-6.4,0,4400.4
2023-01-07 01:00:00,-3.9,0,3738.7
2023-01-07 02:00:00,-4.5,0,3821.4
2023-01-07 03:00:00,-5.2,0,3891.1
2023-01-07 04:00:00,-1.7,0,3178.7
2023-01-07 05:00:00,-0.9,0,2993.8
2023-01-07 06:00:00,1.9,0,2531.0
2023-01-07 07:00:00,1.5,0,2817.0
2023-01-07 08:00:00,2.9,0,2582.8
2023-01-07 09:00:00,3.8,0,2398.1
2023-01-07 10:00:00,3.4,0,2570.8
2023-01-07 11:00:00,4.8,0,2263.2
2023-01-07 12:00:00,8.0,0,1699.4
2023-01-07 13:00:00,5.7,0,2030.9
2023-01-07 14:00:00,2.6,0,2542.9
2023-01-07 15:00:00,5.8,0,2093.8
2023-01-07 16:00:00,0.8,0,2957.2
2023-01-07 17:00:00,2.6,0,2663.3
2023-01-07 18:00:00,-0.7,0,3327.5
2023-01-07 19:00:00,-4.0,0,4089.8
2023-01-07 20:00:00,-2.4,0,3638.8
2023-01-07 21:00:00,-3.3,0,3938.6
2023-01-07 22:00:00,-2.5,0,3679.8
2023-01-07 23:00:00,-7.5,0,4924.1
2023-01-08 00:00:00,-4.5,0,3911.5
2023-01-08 01:00:00,0.7,0,2754.2
2023-01-08 02:00:00,-5.1,0,3920.4
2023-01-08 03:00:00,-2.6,0,3357.8
2023-01-08 04:00:00,-7.4,0,4627.2
2023-01-08 05:00:00,0.4,0,2889.4
2023-01-08 06:00:00,3.6,0,2341.3
2023-01-08 07:00:00,-1.6,0,3372.3
2023-01-08 08:00:00,-0.1,0,3086.1
2023-01-08 09:00:00,1.3,0,2854.5
2023-01-08 10:00:00,-1.3,0,3435.9
2023-01-08 11:00:00,4.8,0,2222.2
2023-01-08 12:00:00,2.7,0,2492.8
2023-01-08 13:00:00,5.5,0,2144.7
2023-01-08 14:00:00,1.9,0,2610.4
2023-01-08 15:00:00,5.6,0,2160.3
2023-01-08 16:00:00,2.6,0,2577.0
2023-01-08 17:00:00,-2.6,0,3689.3
2023-01-08 18:00:00,-0.1,0,3223.0
2023-01-08 19:00:00,-2.2,0,3680.9
2023-01-08 20:00:00,-3.9,0,3972.9
2023-01-08 21:00:00,0.5,0,2991.3
2023-01-08 22:00:00,-4.8,0,4142.2
2023-01-08 23:00:00,-8.1,0,4961.9
2023-01-09 00:00:00,-4.4,0,3939.7
2023-01-09 01:00:00,-4.3,0,3845.5
2023-01-09 02:00:00,-3.5,0,3493.9
2023-01-09 03:00:00,0.0,0,2821.9
2023-01-09 04:00:00,-4.2,0,3653.0
2023-01-09 05:00:00,-0.6,0,3017.7
2023-01-09 06:00:00,1.3,0,2663.9
2023-01-09 07:00:00,-0.9,0,3171.4
2023-01-09 08:00:00,1.0,0,2954.3
2023-01-09 09:00:00,-0.6,0,3333.6
2023-01-09 10:00:00,7.7,0,1904.3
2023-01-09 11:00:00,4.2,0,2284.9
2023-01-09 12:00:00,8.2,0,1732.8
2023-01-09 13:00:00,7.5,0,1849.0
2023-01-09 14:00:00,2.5,0,2565.8
2023-01-09 15:00:00,2.1,0,2613.0
2023-01-09 16:00:00,1.0,0,2879.7
2023-01-09 17:00:00,-0.1,0,3168.5
2023-01-09 18:00:00,5.2,0,2258.1
2023-01-09 19:00:00,-3.4,0,3950.1
2023-01-09 20:00:00,-1.5,0,3492.2
2023-01-09 21:00:00,-3.5,0,3871.0
2023-01-09 22:00:00,-4.9,0,4227.9
2023-01-09 23:00:00,0.0,0,3058.3
2023-01-10 00:00:00,-4.1,0,3660.1
2023-01-10 01:00:00,-5.9,0,3970.9
2023-01-10 02:00:00,-4.3,0,3618.8
2023-01-10 03:00:00,-1.0,0,2815.4
2023-01-10 04:00:00,-0.0,0,2724.1
2023-01-10 05:00:00,1.4,0,2520.7
2023-01-10 06:00:00,-1.1,0,3075.8
2023-01-10 07:00:00,2.8,0,2340.1
2023-01-10 08:00:00,6.4,0,1824.5
2023-01-10 09:00:00,0.1,0,3015.0
2023-01-10 10:00:00,5.6,0,1983.8
2023-01-10 11:00:00,5.7,0,1894.2
2023-01-10 12:00:00,3.7,0,2254.8
2023-01-10 13:00:00,7.9,0,1596.6
2023-01-10 14:00:00,1.5,0,2590.6
2023-01-10 15:00:00,2.8,0,2321.5
2023-01-10 16:00:00,0.3,0,2807.8
2023-01-10 17:00:00,1.1,0,2749.5
2023-01-10 18:00:00,0.9,0,2817.0
2023-01-10 19:00:00,-1.3,0,3405.7
2023-01-10 20:00:00,0.0,0,3036.5
2023-01-10 21:00:00,-1.0,0,3213.1
2023-01-10 22:00:00,-1.6,0,3277.0
2023-01-10 23:00:00,-3.9,0,3784.3
2023-01-11 00:00:00,-2.3,0,3180.8
2023-01-11 01:00:00,-5.3,0,3834.1
2023-01-11 02:00:00,-5.2,0,3901.3
2023-01-11 03:00:00,-5.1,0,3766.4
2023-01-11 04:00:00,-2.8,0,3235.1
2023-01-11 05:00:00,-0.8,0,2760.3
2023-01-11 06:00:00,2.6,0,2371.0
2023-01-11 07:00:00,1.3,0,2554.4
2023-01-11 08:00:00,0.4,0,2797.6
2023-01-11 09:00:00,5.0,0,2165.8
2023-01-11 10:00:00,5.8,0,2088.8
2023-01-11 11:00:00,3.9,0,2226.1
2023-01-11 12:00:00,6.2,0,1807.2
2023-01-11 13:00:00,6.3,0,1753.3
2023-01-11 14:00:00,4.8,0,2079.5
2023-01-11 15:00:00,4.0,0,2189.1
2023-01-11 16:00:00,3.4,0,2321.2
